credits_2d_artist;2D mûvész
credits_2d_artists;2D mûvészek
credits_2d_artists_coordinator;2D mûvész koordinátor
credits_2d_environment_artist;2D környezet mûvész
credits_2d_generalist;Általános 2D
credits_2d_lead_artist;Vezetô 2D mûvész
credits_3d;3D
credits_3d_artist;3D mûvész
credits_3d_artist_intern;3D mûvész gyakornok
credits_3d_artists;3D mûvészek
credits_3d_artists_coordinator;3D mûvész koordinátor
credits_3d_artists_lead;3D mûvész vezetô
credits_3d_generalist;Általános 3D
credits_3d_generalist_and_vfx;Általános 3D és VFX
credits_3d_intern;3D gyakornok
credits_3d_lead;3D vezetô
credits_3d_modeler_and_character_artist;3D modell és karakter mûvész
credits_account_manager;Fiókkezelô
credits_accountant;Könyvelô
credits_accountantsenior_vat_specialist;Könyvelô/Vezetô ÁFA szakértô
credits_accounting;Számvitel
credits_accounts_and_records_assistant;Könyvelési és nyilvántartási asszisztens
credits_accounts_and_records_manager;Könyvelési és nyilvántartás menedzser
credits_accounts_and_records_office;KÖNYVELÉSI ÉS NYILVÁNTARTÁS IRODA
credits_accounts_and_records_specialist;Könyvelési és nyilvántartás specialista
credits_accounts_specialist;Könyvelési specialista
credits_acoustic_guitar;Akusztikus gitár
credits_acting_director_of_live_ops;A LiveOps megbízott igazgatója
credits_acting_game_data_analytics_lead;Játékadatellemzési vezetô
credits_acting_lead_devops_developer;Ügyvezetô DevOps fejlesztô
credits_acting_lead_of_product_management;Termékmenedzsment ügyvezetô
credits_acting_lead_online_services_programmer;Online szolgáltatásokat programozó ügyvezetô
credits_acting_lead_producer;Ügyvezetô producer
credits_acting_online_design_lead;Online design ügyvezetô
credits_acting_product_owner;Vezetô terméktulajdonos
credits_actors;Színészek
credits_additional_comms;További kommunikációk
credits_additional_polish_localization;További Lengyel lokalizáció készítôk
credits_additional_qa;További minôségbiztosítás
credits_additonal_3d_artists;További 3D mûvészek
credits_additonal_animation;További animációk
credits_additonal_art;További mûvészek
credits_additonal_art_direction;További látványtervezô
credits_additonal_art_ui;További kezelôfelület mûvészek
credits_additonal_audio;További hang
credits_additonal_design;További design
credits_additonal_game_direction;További játékirány
credits_additonal_ilustration_and_concept_art;További illusztráció és Concept Art
credits_additonal_production;További termelés
credits_additonal_programming;További programozók
credits_additonal_story;További történet
credits_additonal_vfx;További VFX
credits_addtional_tech_art;További Tech mûvészek
credits_aditional_game_developement;További játékfejlesztôk
credits_administration;Adminisztráció
credits_administrative_coordinator;Adminisztratív koordinátor
credits_administrative_director;Adminisztratív igazgató
credits_administrative_specialist;Adminisztratív specialista
credits_animation;Animáció
credits_animation_coordinator;Animációs koordinátor
credits_animation_lead;Animációs vezetô
credits_animation_project_lead;Animációs projekt vezetô
credits_animation_team_lead;Animációs csoportvezetô
credits_animation_vfx_team_supervisor;Animáció és VFX csapat felügyelô
credits_animations_and_vfx;Animációk és VFX
credits_animator;Animátor
credits_animator_&_vfx_artist;Animátor és VFX mûvész
credits_animator_intern;Gyakornok animátor
credits_application_security_engineer;Alkalmazásbiztonsági mérnök
credits_ardal_aep_dahy;Ardal aep Dahy
credits_art;Mûvészet
credits_art_director;Mûvész vezetô
credits_art_qa_analyst;Mûvész minôségbiztosítás elemzô
credits_art_team_lead;Mûvész csoportvezetô
credits_art_ui;Mûvész kezelôfelület
credits_artistic_director;Mûvészeti vezetô
credits_artistic_supervision_cd_projekt_red;CD PROJEKT RED mûvészeti felügyelet
credits_assistant_director;Rendezô asszisztens
credits_assistant_engineer;Mérnöksegéd
credits_assistant_sound_engineer;Hangmérnök asszisztens
credits_associate_creative_director;Társ kreatív igazgató
credits_associate_qa_lead;Társ minôségbiztosítási vezetô
credits_associate_release_manager;Társ kiadáskezelô
credits_associate_technical_qa_lead;Társ technikai minôségbiztosítási vezetô
credits_audio;Hang
credits_audio_engineer;Hangmérnök
credits_audio_project_lead;Hang projektvezetô
credits_audio_qa;Hang minôségbiztosítás
credits_audio_qa_analyst;Hang minôségbiztosítási elemzô
credits_audio_qc;Hang minôségellenôrzés
credits_back_office;HÁTSÓ IRODA
credits_backend_developer;Háttérrendszer fejlesztô
credits_backend_developer_coordinator;Háttérrendszer fejlesztési koordinátor
credits_backend_programming;Háttérrendszer
credits_barnabas_beckenbauer;Barnabas Beckenbauer
credits_bd_manager;BD menedzser
credits_beta_art_director;Béta mûvész igazgató
credits_biłgoraj_suka;Biłgoraj Suka
credits_board_of_cd_projekt_sa;A CD PROJEKT S.A. TÁBLÁJA
credits_bouzouki;Bouzouki
credits_bowed_gusli;Bowed Gusli
credits_bowed_lute;Bowed Lute
credits_brand_manager;Márka menedzser
credits_brazilian_portuguese;Brazil-Portugál
credits_brazilian_portuguese_localization;Brazil-Portugál lokalizáció
credits_brazilian_portuguese_voiceovers;Brazil-Portugál hangok
credits_brouver_hoog;Brouver Hoog
credits_build_engineer;Build mérnök
credits_build_engineer_cplus_programmer;Build mérnök / C# promramozó
credits_business_development;ÜZLETFEJLESZTÉS
credits_business_development_and_legal_specialist;Üzletfejlesztési és jogi specialista
credits_business_development_associate;Társ üzletfejlesztô
credits_business_development_director;Üzletfejlesztési igazgató
credits_business_development_manager;Üzletfejlesztési menedzser
credits_business_process_specialist;Üzleti folyamatok specialistája
credits_business_systems_assistant;Üzleti rendszerek asszisztens
credits_business_systems_development_manager;Üzleti rendszerek fejlesztési menedzser
credits_business_systems_specialist;Üzleti rendszerek specialista
credits_caldwell;Caldwell
credits_cast;Szereposztás
credits_cast_manager;Szereposztás menedzser
credits_casting_director;Szereposztás igazgató
credits_cd_projekt_asia;CD PROJEKT ÁZSIA
credits_cdp_red_it;CDP RED IT
credits_cello;Cselló
credits_ceo;Vezérigazgató
credits_character_artist;Karakter mûvész
credits_character_concept_artist_middle;középponti karakter koncepció mûvész
credits_character_td;Karakter technikai igazgató
credits_chief_accountant;Fôkönyvelô
credits_chief_counsel_business_ip_and_privacy;Üzleti fôtanácsadó, IP és adatvédelem
credits_chief_counsel_corporate_governance_and_administration;Vállalatirányítási fôtanácsadó és adminisztráció
credits_chief_financial_controller;Fô pénzügyi vezetô
credits_chief_sound_engineer;Vezetô hangmérnök
credits_cinematic_animation_lead;Filmes animáció vezetô
credits_cinematic_animator;Filmes Animátor
credits_cinematic_artist;Filmes mûvész
credits_cinematic_director;Filmes rendezô
credits_closed_beta_game_director;Zárt béta játékigazgató
credits_co-founder_joint_ceo;Társalapító, Társ vezérigazgató
credits_comic_illustrator;Képregényrajzoló
credits_comms;Kommunikációk
credits_communication;Kommunikáció
credits_communications_assistant;Kommunikációs asszisztens
credits_communications_specialist;Kommunikációs specialista
credits_community_&_pr_manager_italy;Olasz közösség és PR menedzser
credits_community_and_pr_manager_cis;Közösség & PR menedzser - CIS
credits_community_and_pr_manager_italy;Közösség & PR menedzser - Olaz
credits_community_and_pr_manager_japan;Közösség & PR menedzser - Japán
credits_community_and_pr_manager_spain_and_latam;Közösség & PR menedzser - Spanyol és Latin-Amerika
credits_community_lead;Közösség vezetô
credits_community_manager;Közösség menedzser
credits_community_manager_assistant;Közösség menedzser asszisztens
credits_community_manager_brazil;Közösség menedzser - Brazília
credits_community_manager_china;Közösség menedzser - Kína
credits_community_manager_france;Közösség menedzser - Franciaország
credits_community_manager_germany;Közösség menedzser Németország
credits_community_manager_korea;Közösség menedzser - Korea
credits_community_manager_south_korea;Közösség menedzser Dél-Korea
credits_community_specialist;Közösség specialista
credits_compatibility_&_compliance_qa;Kompatibilitás és megfelelôségi minôségbiztosítás
credits_compensation_and_benefits_expert;Kompenzációs és juttatási szakértô
credits_compliance_qa_technician;Megfelelôségi minôségbiztosítási technikusok
credits_concept_artist;Koncepció mûvész
credits_concept_designer;Koncepció designer
credits_consolidation_specialistindependent_accountant;Konszolidáció specialista/Független könyvelô
credits_contracts_administrator;Szerzôdések adminisztrátora
credits_controlling_specialist;Irányítási specialista
credits_coo;Üzemeltetési vezérigazgató
credits_coordinator;Koordinátor
credits_copywriter;Szövegíró
credits_corporate_governance;VÁLLALATIRÁNYÍTÁS
credits_country_lead_france;Franciaországi vezetôség
credits_country_lead_poland;Lengyel vezetôség
credits_country_lead_russia_and_cis;Orosz és CIS vezetôség
credits_country_manager_china;Ország menedzser - Kína
credits_country_manager_japan;Ország menedzser - Japán
credits_country_manager_korea;Termékigazgató - Korea
credits_cplus_developer;Rangidôs C# fejlesztô
credits_csharp_developer;C# fejlesztô
credits_csharp_engineer;C# mérnök
credits_csharp_programmer;C# programozó
credits_customer_relations_representative;Ügyfélkapcsolati képviselô
credits_customer_relations_supervisor;Ügyfélkapcsolati felügyelô
credits_customer_support_coordinator;Ügyfélkapcsolati koordinátor
credits_customer_support_representative;Ügyfélszolgálati képviselô
credits_customer_support_supervisor;Ügyfélszolgálati felügyelô
credits_cutout_artist;Vágási mûvész
credits_cutscenes;Átvezetôk
credits_cutscenes_for_tb;Átvezetôk a Trónbitorlóhoz
credits_data_analyst;Adatelemzô
credits_demavend;Demavend
credits_deputy_chief_accountant;Helyettes fôkönyvelô
credits_deputy_chief_accountantconsolidation_specialist;Helyettes fôkönyvelô/Konszolidáció specialista
credits_design;Design
credits_design_director;Design igazgató
credits_design_team_director;Design csapat igazgató
credits_designer;Designer
credits_designer_and_producer;Designer és producer
credits_designer_producer;Designer és producer
credits_developer;Fejlesztô
credits_devops;DevOps
credits_devops_lead;DevOps vezetô
credits_devops_lead_release_manager;Devops vezetô / kiadáskezelô
credits_didgeridoo;Didgeridoo
credits_digital_marketing_director;Digitális marketing igazgató
credits_direct_marketing_manager;Direkt marketing menedzser
credits_director;Rendezô
credits_director_analytics_and_monetization;Rendezô - Elemzés és bevélelezés
credits_director_galaxy;Rendezô - Galaxy
credits_director_liveops;Rendezô - LiveOps
credits_director_of_global_production;Globális termelési rendezô
credits_director_of_marketing_production;Marketing termelés rendezô
credits_director_of_pr_and_communication;PR és kommunikáció rendezô
credits_director_of_quality_assurance;Minôségbiztosítási rendezô
credits_do_they_want_to_list_all_artists_involved?;fel akarod sorolni az összes érintett mûvészt?
credits_dubbing_director;Szinkronizáció rendezô
credits_editor;Szerkesztô
credits_electric_cello;Elektromos cselló
credits_electronic_records_specialist;Elektronikus nyilvátartás specialista
credits_embedded_qa_coordinator;Belsô minôségbiztosítási koordinátor
credits_employment_and_payroll;Foglalkoztatás és bérszámfejtés
credits_employment_and_payroll_deupty_manager;Foglalkoztatás és bérszámfejtés helyettes menedzser
credits_employment_and_payroll_manager;Foglalkoztatás és bérszámfejtés menedzser
credits_employment_and_payroll_specialist;Foglalkoztatás és bérszámfejtés specialista
credits_employment_specialist;Foglalkoztatás specialista
credits_english;Angol
credits_english_adaptation;Angol adaptáció
credits_english_adaptation_director;Angol adaptáció rendezô
credits_english_adaptation_specialist;Angol adaptáció specialista
credits_english_localization;Angol lokalizáció
credits_english_voiceovers;Angol szinkronhangok
credits_erp_system_specialist;ERP rendszer specialista
credits_esports;ESPORTS
credits_esports_manager;Esports menedzser
credits_event_manager;Esemény menedzser
credits_event_specialist;Esemény specialista
credits_events;ESEMÉNYEK
credits_executive_assistant;Ügyvezetô asszisztens
credits_executive_director;Ügyvezetô igazgató
credits_executive_producer;Ügyvezetô producer
credits_expert_it_system_administrator;Szakértô informatikai rendszergazda
credits_external_development_support;KÜLSŐ FEJLESZTÉSI TÁMOGATÁS
credits_eyck_of_denesle;Eyck of Denesle
credits_featured_soloists;Featured Soloists
credits_fiddle;Fiddle
credits_finance_specialist;Pénzügyi specialista
credits_finances_and_accounting;FINANCES & ACCOUNTING
credits_financial_controller;Pénzügyi vezetô
credits_flutes;Fúvósok
credits_forum_manager;Fórum menedzser
credits_french;Francia
credits_french_localization_and_voiceovers;French Localization and Voiceovers
credits_frontend_developer;Frontend fejlesztô
credits_frontend_engineer;Frontend Engineer
credits_functionality_qa;Functionality minôségbiztosítás
credits_functionality_qa_technician;Functionality minôségbiztosítás Technicians
credits_gabor_zigrin;Gabor Zigrin
credits_galaxy_integration_qa_lead;GOG GALAXY Integration minôségbiztosítás Lead
credits_galaxy_team;GALAXY TEAM
credits_game_data_analyst;Game Data elemzô
credits_game_design;Game Design
credits_game_design_acting_lead;Game Design ügyvezetô
credits_game_director;Játékigazgató
credits_gameplay_design_coordinator;Gameplay Design koordinátor
credits_gameplay_designer;Gameplay Designer
credits_gameplay_designer_coordinator;Játékmenet designer/koordinátor
credits_gameplay_manager;Gameplay menedzser
credits_gameplay_programmer;Gameplay Programmer
credits_gameplay_programming;Gameplay Programming
credits_gameplay_qa_analyst;Gameplay minôségbiztosítás elemzô
credits_gameplay_qa_coordinator;Gameplay minôségbiztosítás koordinátor
credits_gameplay_ux_programmer;Gameplay UX Programmer
credits_gascon;Gascon
credits_general_manager;General menedzser
credits_general_manager_china;General menedzser - China
credits_german;Német
credits_german_localization;German Localization
credits_german_voiceovers;German Voiceovers
credits_global_communication_lead;Global Communication Lead
credits_global_community_lead;Global közösség Lead
credits_global_marketing_lead;Global Marketing Lead
credits_global_pr_marketing_&_community_director;Global PR Marketing & közösség Director
credits_global_production;GLOBAL PRODUCTION
credits_global_production_manager;Global Production menedzser
credits_global_production_specialist;Global Production specialista
credits_global_qa_coordinator;Global minôségbiztosítás koordinátor
credits_gm_vp_bd_china;General menedzser/VP, Business Development, China
credits_gog;GOG
credits_gog_art_team;GOG Art Team
credits_gog_bizdev_team;GOG BizDev Team
credits_gog_com_store_director;GOG.com Store Director
credits_gog_family;GOG Family
credits_gog_galaxy_qa_lead;GOG GALAXY minôségbiztosítás Lead
credits_gog_galaxy_team;GOG GALAXY Team
credits_gog_galaxy_team_director;GOG GALAXY Team Director
credits_gog_game_releases_team;GOG Game Releases Team
credits_gog_global_marketing_pr_and_community_team;GOG Global Marketing PR and közösség Team
credits_gog_hr_team;GOG HR Team
credits_gog_it_and_architects_team;GOG IT and Architects Team
credits_gog_legal_team;GOG Legal Team
credits_gog_marketing_team;GOG Marketing Team
credits_gog_product;GOG Product
credits_gog_qa_team;GOG minôségbiztosítás Team
credits_gog_releases;GOG Releases Team
credits_gog_web;GOG Web
credits_gog_web_team;GOG Web Team
credits_gogcom_team;GOG.COM CSAPAT
credits_graphic_designer;Graphic Designer
credits_gwent_babies;GWENT BABÁK
credits_gwent_communications_lead;Gwent Communications Lead
credits_gwent_development_team;GAME DEVELOPMENT TEAM
credits_gwent_pets;Gwent házi kedvencek
credits_gwent_the_witcher_card_game;GWENT: ZSIVÁNY MÁGUS
credits_gwent_web;GWENT Web
credits_handyman;Ezermester
credits_head_global_communications;Head of Global Communications
credits_head_of_art_division;Head of Art Division
credits_head_of_communication_br_latam;Head of Communication Br & Latam
credits_head_of_communication_france;Head of Communication France
credits_head_of_communication_germany;Head of Communication Germany
credits_head_of_communication_gsa;Head of Communication GSA
credits_head_of_communication_ibero-america_and_italy;Head of Communication Ibero-America and Italy
credits_head_of_communication_na;Head of Communication North America
credits_head_of_communication_uk;Head of Communication UK
credits_head_of_communications_ibero-america_and_italy;Head of Communications - Ibero-America & Italy
credits_head_of_customer_relations;Head of Customer Relations
credits_head_of_finance;Head of Finance
credits_head_of_game_releases;Head of Game Releases
credits_head_of_global_communications;Head of Global Communications
credits_head_of_it;Head of IT
credits_head_of_lqa;Head of vezetô minôségbiztosítás
credits_head_of_partnerships;Head of Partnerships
credits_head_of_pre_production;Head of Pre-production
credits_head_of_product;Head of Product
credits_head_of_production;Head of Production
credits_head_of_publishing_cis;Head of Publishing Russia & CIS
credits_head_of_studio;Head of Studio
credits_head_of_web;Head of Web
credits_helpdesk_coordinator;Helpdesk koordinátor
credits_helpdesk_specialist;Helpdesk specialista
credits_helpdesk_technician;Helpdesk Technician
credits_hr;HR
credits_hr_and_administration_director;HR & Administration Director
